,symbol,metric,value
313,GOOGL,Beta (5Y Monthly),1.01
314,GOOGL,PE Ratio (TTM),26.88 
315,GOOGL,EPS (TTM),6.51 
316,GOOGL,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
317,GOOGL,Forward Dividend & Yield,0.80 (0.46%)
318,GOOGL,Ex-Dividend Date,"Jun 10, 2024"
319,GOOGL,1y Target Est,193.58 
320,GOOG,Previous Close,176.63 
321,GOOG,Open,177.72 
322,GOOG,Bid,175.53 x 100
323,GOOG,Ask,175.68 x 100
324,GOOG,Day's Range,175.44 - 178.39 
325,GOOG,52 Week Range,115.83 - 179.95 
326,GOOG,Volume,"4,911,867 "
327,GOOG,Avg. Volume,"20,399,553 "
328,GOOG,Market Cap (intraday),2.159T 
329,GOOG,Beta (5Y Monthly),1.01
330,GOOG,PE Ratio (TTM),26.93 
331,GOOG,EPS (TTM),6.52 
332,GOOG,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
333,GOOG,Forward Dividend & Yield,0.80 (0.45%)
334,GOOG,Ex-Dividend Date,"Jun 10, 2024"
335,GOOG,1y Target Est,185.79 
336,MO,Previous Close,46.70 
337,MO,Open,46.60 
338,MO,Bid,--
339,MO,Ask,46.57 x 1800
340,MO,Day's Range,46.24 - 46.79 
341,MO,52 Week Range,39.07 - 47.19 
342,MO,Volume,"7,906,315 "
343,MO,Avg. Volume,"12,410,942 "
344,MO,Market Cap (intraday),79.853B 
345,MO,Beta (5Y Monthly),0.67
346,MO,PE Ratio (TTM),9.73 
347,MO,EPS (TTM),4.78 
348,MO,Earnings Date,"Jul 31, 2024"
349,MO,Forward Dividend & Yield,3.92 (8.43%)
350,MO,Ex-Dividend Date,"Jun 14, 2024"
351,MO,1y Target Est,46.59 
352,AMZN,Previous Close,184.30 
353,AMZN,Open,184.07 
354,AMZN,Bid,187.11 x 100
355,AMZN,Ask,187.19 x 100
356,AMZN,Day's Range,183.79 - 187.20 
357,AMZN,52 Week Range,118.35 - 191.70 
358,AMZN,Volume,"29,584,586 "
359,AMZN,Avg. Volume,"38,890,919 "
360,AMZN,Market Cap (intraday),1.947T 
361,AMZN,Beta (5Y Monthly),1.14
362,AMZN,PE Ratio (TTM),52.25 
363,AMZN,EPS (TTM),3.58 
364,AMZN,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
365,AMZN,Forward Dividend & Yield,--
366,AMZN,Ex-Dividend Date,--
367,AMZN,1y Target Est,224.67 
368,AMCR,Previous Close,10.16 
369,AMCR,Open,10.10 
370,AMCR,Bid,--
371,AMCR,Ask,--
372,AMCR,Day's Range,10.00 - 10.14 
373,AMCR,52 Week Range,8.45 - 10.51 
374,AMCR,Volume,"5,325,800 "
